City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
419,Dawei,MM,75.99,broken clouds,14.0833,98.2,Hotel Dawei
421,Mayumba,GA,76.48,overcast clouds,-3.432,10.6554,LIKWALE LODGE
424,Kirakira,SB,78.55,broken clouds,-10.4544,161.9205,SanBiz Lodge
425,Mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
429,Bucerias,MX,87.98,scattered clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
430,Ponta Delgada,PT,75.51,broken clouds,37.7333,-25.6667,Vila Nova Hotel
431,Padang,ID,77.43,overcast clouds,-0.9492,100.3543,Mercure Padang
432,Muli,MV,83.12,clear sky,2.9167,73.5667,Medhufushi Island Resort
436,Vila Franca Do Campo,PT,75.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
437,Porto Novo,BJ,82.22,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
438,Maragogi,BR,79.23,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
442,Dondo,MZ,78.31,overcast clouds,-19.6094,34.7431,Arco Iris
443,Tucupita,VE,81.9,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
444,Awbari,LY,81.59,clear sky,26.5921,12.7805,فندق أوباري
447,Pahrump,US,86.68,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
454,Garden City,US,76.93,broken clouds,42.3256,-83.331,Quality Inn & Suites Banquet Center
455,Haifa,IL,75.2,clear sky,32.8156,34.9892,Dan Panorama Haifa Hotel
456,Gigmoto,PH,80.62,heavy intensity rain,13.7796,124.39,Cj's Travellers Inn
459,Colombo,LK,78.75,overcast clouds,6.9319,79.8478,Galle Face Hotel
461,Laguna,US,88.65,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
465,Boffa,GN,81.5,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
467,Kavaratti,IN,81.63,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
468,Teknaf,BD,79.39,overcast clouds,20.8624,92.3058,Forestry Guesthouse
472,Carutapera,BR,85.35,overcast clouds,-1.195,-46.02,Lidera
484,Kununurra,AU,75.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
485,Wanning,CN,79.43,broken clouds,18.8003,110.3967,Paradise Hotel
486,Dixon,US,89.06,clear sky,38.4455,-121.8233,Best Western Plus Dixon Davis
489,Jeremie,HT,84.16,overcast clouds,18.65,-74.1167,Auberge’Inn
491,Meulaboh,ID,75.38,few clouds,4.1363,96.1285,Kost Pria
501,Cabinda,AO,78.94,scattered clouds,-5.55,12.2,Hotel Maiombe
502,Natal,BR,86.65,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
503,Banjar,ID,76.91,few clouds,-8.19,114.9675,The Hamsa Resort
504,Allende,MX,87.75,overcast clouds,25.2833,-100.0167,Ecovergel Hotel Boutique
