City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Salym,RU,60.0625,71.4789,30.07,92,100,7.47,overcast clouds
119,Ilulissat,GL,69.2167,-51.1,30.22,64,100,5.75,overcast clouds
120,Alice Springs,AU,-23.7,133.8833,54.95,47,0,0.0,clear sky
121,Lakes Entrance,AU,-37.8811,147.981,59.58,90,100,3.31,overcast clouds
122,Mahanje,TZ,-9.9333,35.3333,67.98,53,10,3.74,clear sky
123,Mumford,GH,5.2618,-0.759,78.44,89,32,9.75,scattered clouds
124,Lethem,GY,3.3803,-59.7968,86.05,74,40,6.91,scattered clouds
125,Chuy,UY,-33.6971,-53.4616,61.56,55,26,12.21,scattered clouds
126,Otradnoye,RU,59.7775,30.8181,50.56,85,0,6.76,clear sky
127,Khatanga,RU,71.9667,102.5,17.01,95,99,10.42,overcast clouds
128,Bandar-E Lengeh,IR,26.5579,54.8807,89.71,70,100,4.61,haze
129,Necochea,AR,-38.5473,-58.7368,53.04,59,6,21.14,clear sky
130,Constitucion,CL,-35.3333,-72.4167,59.11,53,0,19.62,clear sky
131,Bethel,US,41.3712,-73.414,77.47,63,40,5.75,scattered clouds
132,Carnarvon,AU,-24.8667,113.6333,62.67,77,0,16.11,clear sky
133,Jojoima,SL,7.8792,-10.7878,76.28,86,97,1.57,overcast clouds
134,Shimanovsk,RU,52.0,127.7,31.62,79,0,5.7,clear sky
135,Magugu,TZ,-4.0167,35.7667,74.41,35,99,1.07,overcast clouds
136,Sorland,NO,67.667,12.6934,53.67,83,100,19.86,light rain
137,Wakkanai,JP,45.4094,141.6739,63.73,83,100,23.02,overcast clouds
138,Price,US,39.5994,-110.8107,71.73,32,1,4.61,clear sky
139,Dudinka,RU,69.4058,86.1778,17.83,95,99,1.21,overcast clouds
140,Adrar,MR,20.5022,-10.0711,96.66,10,18,3.87,few clouds
141,Khilok,RU,51.3674,110.4676,32.09,94,100,5.26,overcast clouds
142,Nabire,ID,-3.3667,135.4833,75.0,91,100,3.69,overcast clouds
143,Ratanpur,IN,22.3,82.1667,75.07,86,12,2.57,few clouds
144,Vardo,NO,70.3705,31.1107,49.98,76,0,19.57,clear sky
145,Lasa,IT,46.6166,10.7002,58.08,97,89,5.59,overcast clouds
146,Dikson,RU,73.5069,80.5464,34.79,98,100,23.38,light rain
147,Qasigiannguit,GL,68.8193,-51.1922,30.45,71,100,1.81,overcast clouds
148,Sur,OM,22.5667,59.5289,83.1,77,100,16.6,overcast clouds
149,Brae,GB,60.3964,-1.353,49.91,87,100,34.07,overcast clouds
150,Waggaman,US,29.9185,-90.2109,88.0,69,90,5.99,mist
151,Camacha,PT,33.0833,-16.3333,71.02,83,40,12.66,scattered clouds
152,Cherskiy,RU,68.75,161.3,17.42,97,96,3.53,overcast clouds
153,Castro,BR,-24.7911,-50.0119,63.48,98,100,1.23,light rain
154,Talcahuano,CL,-36.7167,-73.1167,60.48,48,0,19.57,clear sky
155,Kodiak,US,57.79,-152.4072,40.51,52,1,9.22,clear sky
156,Pangnirtung,CA,66.1451,-65.7125,32.0,100,75,8.05,broken clouds
